id,names,voteID
68000030020,桃園市大溪區員林里,201601
68000030019,桃園市大溪區仁武里,201601
68000030018,桃園市大溪區仁愛里,201601
68000030017,桃園市大溪區仁善里,201601
68000030016,桃園市大溪區僑愛里,201601
68000030015,桃園市大溪區仁義里,201601
68000030014,桃園市大溪區中新里,201601
68000030013,桃園市大溪區瑞興里,201601
68000030012,桃園市大溪區義和里,201601
68000030011,桃園市大溪區康安里,201601
68000030010,桃園市大溪區新峰里,201601
68000030009,桃園市大溪區復興里,201601
68000030008,桃園市大溪區福安里,201601
68000030007,桃園市大溪區美華里,201601
68000030006,桃園市大溪區永福里,201601
68000030005,桃園市大溪區月眉里,201601
68000030004,桃園市大溪區一德里,201601
68000030003,桃園市大溪區一心里,201601
68000030002,桃園市大溪區福仁里,201601
68000030001,桃園市大溪區興和里,201601
68000020085,桃園市中壢區金華里,201601
68000020084,桃園市中壢區林森里,201601
68000020083,桃園市中壢區自信里,201601
68000020082,桃園市中壢區龍慈里,201601
68000020081,桃園市中壢區中興里,201601
68000020080,桃園市中壢區興平里,201601
68000020079,桃園市中壢區健行里,201601
68000020078,桃園市中壢區自治里,201601
68000020077,桃園市中壢區莊敬里,201601
68000020076,桃園市中壢區華愛里,201601
68000020075,桃園市中壢區仁和里,201601
68000020074,桃園市中壢區永福里,201601
68000020073,桃園市中壢區幸福里,201601
68000020072,桃園市中壢區仁福里,201601
68000020071,桃園市中壢區華勛里,201601
68000020070,桃園市中壢區仁義里,201601
68000020069,桃園市中壢區德義里,201601
68000020068,桃園市中壢區中山里,201601
68000020067,桃園市中壢區龍安里,201601
68000020066,桃園市中壢區正義里,201601
68000020065,桃園市中壢區龍德里,201601
68000020064,桃園市中壢區五福里,201601
68000020063,桃園市中壢區至善里,201601
68000020062,桃園市中壢區明德里,201601
68000020061,桃園市中壢區普強里,201601
68000020060,桃園市中壢區普忠里,201601
68000020059,桃園市中壢區和平里,201601
68000020058,桃園市中壢區福德里,201601
68000020057,桃園市中壢區忠孝里,201601
68000020056,桃園市中壢區復華里,201601
68000020055,桃園市中壢區永光里,201601
68000020054,桃園市中壢區興和里,201601
68000020053,桃園市中壢區普慶里,201601
68000020052,桃園市中壢區振興里,201601
68000020051,桃園市中壢區內厝里,201601
68000020050,桃園市中壢區中榮里,201601
68000020049,桃園市中壢區山東里,201601
68000020048,桃園市中壢區三民里,201601
68000020047,桃園市中壢區月眉里,201601
68000020046,桃園市中壢區芝芭里,201601
68000020045,桃園市中壢區舊明里,201601
68000020044,桃園市中壢區五權里,201601
68000020043,桃園市中壢區過嶺里,201601
68000020042,桃園市中壢區後寮里,201601
68000020041,桃園市中壢區興南里,201601
68000020040,桃園市中壢區中建里,201601
68000020039,桃園市中壢區龍東里,201601
68000020038,桃園市中壢區石頭里,201601
68000020037,桃園市中壢區信義里,201601
68000020036,桃園市中壢區忠福里,201601
68000020035,桃園市中壢區興國里,201601
68000020034,桃園市中壢區文化里,201601
68000020033,桃園市中壢區復興里,201601
68000020032,桃園市中壢區青埔里,201601
68000020031,桃園市中壢區水尾里,201601
68000020030,桃園市中壢區仁祥里,201601
68000020029,桃園市中壢區龍岡里,201601
68000020028,桃園市中壢區中壢里,201601
68000020027,桃園市中壢區內定里,201601
68000020026,桃園市中壢區中原里,201601
68000020025,桃園市中壢區新興里,201601
68000020024,桃園市中壢區新明里,201601
68000020023,桃園市中壢區篤行里,201601
68000020022,桃園市中壢區洽溪里,201601
68000020021,桃園市中壢區東興里,201601
68000020020,桃園市中壢區興仁里,201601
68000020019,桃園市中壢區中正里,201601
68000020018,桃園市中壢區忠義里,201601
68000020017,桃園市中壢區普義里,201601
68000020016,桃園市中壢區普仁里,201601
68000020015,桃園市中壢區中央里,201601
68000020014,桃園市中壢區新街里,201601
68000020013,桃園市中壢區仁愛里,201601
68000020012,桃園市中壢區仁美里,201601
68000020011,桃園市中壢區龍興里,201601
68000020010,桃園市中壢區中堅里,201601
68000020009,桃園市中壢區自強里,201601
68000020008,桃園市中壢區自立里,201601
68000020007,桃園市中壢區光明里,201601
68000020006,桃園市中壢區成功里,201601
68000020005,桃園市中壢區內壢里,201601
68000020004,桃園市中壢區永興里,201601
68000020003,桃園市中壢區仁德里,201601
68000020002,桃園市中壢區龍昌里,201601
68000020001,桃園市中壢區龍平里,201601
68000010079,桃園市桃園區福元里,201801
68000010078,桃園市桃園區大業里,201801
68000010077,桃園市桃園區大樹里,201801
68000010076,桃園市桃園區三元里,201601
68000010075,桃園市桃園區瑞慶里,201601
68000010074,桃園市桃園區寶安里,201601
68000010073,桃園市桃園區明德里,201601
68000010072,桃園市桃園區同德里,201601
68000010071,桃園市桃園區龍壽里,201601
68000010070,桃園市桃園區中聖里,201601
68000010069,桃園市桃園區北埔里,201601
68000010068,桃園市桃園區寶慶里,201601
68000010067,桃園市桃園區南埔里,201601
68000010066,桃園市桃園區中泰里,201601
68000010065,桃園市桃園區中原里,201601
68000010064,桃園市桃園區中平里,201601
68000010063,桃園市桃園區長德里,201601
68000010062,桃園市桃園區中信里,201601
68000010061,桃園市桃園區自強里,201601
68000010060,桃園市桃園區龍安里,201601
68000010059,桃園市桃園區龍鳳里,201601
68000010058,桃園市桃園區寶山里,201601
68000010057,桃園市桃園區大有里,201601
68000010056,桃園市桃園區龍祥里,201601
68000010055,桃園市桃園區中德里,201601
68000010054,桃園市桃園區中路里,201601
68000010053,桃園市桃園區泰山里,201601
68000010052,桃園市桃園區文中里,201601
68000010051,桃園市桃園區莊敬里,201601
68000010050,桃園市桃園區同安里,201601
68000010049,桃園市桃園區中寧里,201601
68000010048,桃園市桃園區信光里,201601
68000010047,桃園市桃園區春日里,201601
68000010046,桃園市桃園區大興里,201601
68000010045,桃園市桃園區三民里,201601
68000010044,桃園市桃園區福安里,201601
68000010043,桃園市桃園區大豐里,201601
