provinceID,cityID,districtID,townID,villageID,pollStationID,no,vote,votePercentage,isElected,id,voteID,oldID
03,002,00,005,0118,180,1,248,50.81,*,10002050005,200901,03002005118
03,002,00,005,0118,180,2,240,49.18, ,10002050005,200901,03002005118
03,002,00,005,0119,181,1,403,40.17,*,10002050006,200901,03002005119
03,002,00,005,0119,181,2,600,59.82, ,10002050006,200901,03002005119
03,002,00,005,0120,182,1,462,56.89,*,10002050007,200901,03002005120
03,002,00,005,0120,182,2,350,43.1, ,10002050007,200901,03002005120
03,002,00,005,0121,183,1,547,56.86,*,10002050008,200901,03002005121
03,002,00,005,0121,183,2,415,43.13, ,10002050008,200901,03002005121
03,002,00,005,0122,184,1,363,66.48,*,10002050009,200901,03002005122
03,002,00,005,0122,184,2,183,33.51, ,10002050009,200901,03002005122
03,002,00,005,0122,185,1,503,66.44,*,10002050009,200901,03002005122
03,002,00,005,0122,185,2,254,33.55, ,10002050009,200901,03002005122
03,002,00,005,0123,186,1,504,51.79,*,10002050010,200901,03002005123
03,002,00,005,0123,186,2,469,48.2, ,10002050010,200901,03002005123
03,002,00,005,0123,187,1,306,48.18,*,10002050010,200901,03002005123
03,002,00,005,0123,187,2,329,51.81, ,10002050010,200901,03002005123
03,002,00,005,0124,188,1,465,55.95,*,10002050011,200901,03002005124
03,002,00,005,0124,188,2,366,44.04, ,10002050011,200901,03002005124
03,002,00,005,0125,189,1,258,52.22,*,10002050012,200901,03002005125
03,002,00,005,0125,189,2,236,47.77, ,10002050012,200901,03002005125
03,002,00,005,0126,190,1,420,63.73,*,10002050013,200901,03002005126
03,002,00,005,0126,190,2,239,36.26, ,10002050013,200901,03002005126
03,002,00,005,0127,191,1,409,53.67,*,10002050014,200901,03002005127
03,002,00,005,0127,191,2,353,46.32, ,10002050014,200901,03002005127
03,002,00,005,0128,192,1,381,48.78,*,10002050015,200901,03002005128
03,002,00,005,0128,192,2,400,51.21, ,10002050015,200901,03002005128
03,002,00,005,0128,193,1,510,61.51,*,10002050015,200901,03002005128
